YEAR,MONTH,DAY,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY
2015,3,17,MHT,BWI,-1.0,377,-23.0
2015,3,17,JFK,MIA,-4.0,1089,-13.0
2015,3,18,MDW,PHX,0.0,1444,-30.0
2015,3,18,MHT,BWI,-5.0,377,-37.0
2015,3,18,JFK,MIA,0.0,1089,-25.0
2015,3,19,MDW,PHX,-1.0,1444,-27.0
2015,3,19,MHT,BWI,-3.0,377,-31.0
2015,3,19,JFK,MIA,2.0,1089,-7.0
2015,3,20,MDW,PHX,19.0,1444,-11.0
2015,3,20,MHT,BWI,-2.0,377,-26.0
2015,3,20,JFK,MIA,-3.0,1089,-22.0
2015,3,21,LAX,DFW,-7.0,1235,-9.0
2015,3,21,JFK,MIA,2.0,1089,5.0
2015,3,22,MHT,BWI,-6.0,377,-28.0
2015,3,22,JFK,MIA,-5.0,1089,-14.0
2015,3,23,MDW,PHX,-1.0,1444,18.0
2015,3,23,MHT,BWI,-3.0,377,-33.0
2015,3,23,JFK,MIA,-5.0,1089,-12.0
2015,3,24,MDW,PHX,0.0,1444,-16.0
2015,3,24,MHT,BWI,,377,
2015,3,24,JFK,MIA,-5.0,1089,-11.0
2015,3,25,MDW,PHX,8.0,1444,-16.0
2015,3,25,MHT,BWI,-5.0,377,-39.0
2015,3,25,JFK,MIA,-3.0,1089,-6.0
2015,3,26,MDW,PHX,10.0,1444,-25.0
2015,3,26,MHT,BWI,-3.0,377,-27.0
2015,3,26,JFK,MIA,-1.0,1089,2.0
2015,3,27,MDW,PHX,4.0,1444,-13.0
2015,3,27,MHT,BWI,-5.0,377,-24.0
2015,3,27,JFK,MIA,7.0,1089,19.0
2015,3,28,LAX,DFW,45.0,1235,44.0
2015,3,28,JFK,MIA,40.0,1089,53.0
2015,3,29,LAS,ATL,-2.0,1747,-13.0
2015,3,29,DFW,MIA,-6.0,1121,-14.0
2015,3,29,IAH,DFW,-6.0,224,-11.0
2015,3,29,MIA,DFW,0.0,1121,-10.0
2015,3,29,MHT,BWI,-5.0,377,-47.0
2015,3,30,SEA,DFW,-8.0,1660,-35.0
2015,3,30,LAS,ATL,0.0,1747,-10.0
2015,3,30,DFW,MIA,-6.0,1121,-16.0
2015,3,30,IAH,DFW,-5.0,224,-18.0
2015,3,30,MDW,PHX,-5.0,1444,-22.0
2015,3,30,MIA,DFW,45.0,1121,30.0
2015,3,30,MHT,BWI,-5.0,377,-27.0
2015,3,31,SEA,DFW,-10.0,1660,-32.0
2015,3,31,LAS,ATL,-3.0,1747,-12.0
2015,3,31,DFW,MIA,-6.0,1121,-23.0
2015,3,31,IAH,DFW,-9.0,224,-24.0
2015,3,31,MDW,PHX,-2.0,1444,-38.0
2015,3,31,MIA,DFW,-3.0,1121,-14.0
2015,3,31,MHT,BWI,-3.0,377,-29.0
2015,4,1,SEA,DFW,-3.0,1660,-6.0
2015,4,1,DFW,MIA,1.0,1121,-3.0
2015,4,1,IAH,DFW,-5.0,224,-20.0
2015,4,1,MDW,PHX,3.0,1444,-19.0
2015,4,1,MHT,BWI,-5.0,377,-38.0
2015,4,1,MIA,DFW,0.0,1121,30.0
2015,4,2,SEA,DFW,-2.0,1660,-31.0
2015,4,2,DFW,MIA,-5.0,1121,-16.0
2015,4,2,IAH,DFW,-6.0,224,-16.0
